ID saveur AVA;ID produit;Marque;Nom produit;Saveur principale;Saveur secondaire 1;Saveur secondaire 2;Famille de goût;Frais / glacé;Niveau de fraîcheur;Niveau de sucre;Intensité aromatique;Type de sensation;Description simple pour le client;Mots-clés recherchables;Produits similaires;Pour quel profil client;Ancien fumeur / profil tabac;Moment conseillé;À éviter si le client demande;Nicotine disponible;Matériel conseillé;Questions qu’A.V.A. doit poser;Réponse courte d’A.V.A.;Réponse détaillée d’A.V.A.;Statut validation;Validé par;Date validation
SAV-0023;AV-0023;Liquidarom;Ice Cool - Grenade tropicale;grenade tropicale;;;Fruité;Oui;Très fort;Moyen;Soutenue;Glacée et fruitée;Un mélange grenade tropicale avec une fraîcheur très marquée.;grenade tropicale, ice cool, grenade tropicale, frais, glacé;;Client recherchant une saveur fruitée et très fraîche.;;Toute la journée;Les saveurs très fraîches;"0 mg/ml en flacon; dosage final à adapter après conseil en boutique";"Matériel compatible e-liquide 50 ml; réglage selon résistance et préférence du client";Préférez-vous une saveur fraîche ou non fraîche ? Quels goûts aimez-vous ? Quel est votre matériel et votre dosage actuel ?;Le Grenade tropicale propose grenade tropicale avec une fraîcheur intense.;Ce produit Liquidarom de la collection Ice Cool associe grenade tropicale. A.V.A. doit vérifier la préférence de fraîcheur, le matériel utilisé et le dosage de nicotine habituel avant de le proposer.;À vérifier;Yoann / All Vap’s;2026-07-28
SAV-0024;AV-0024;Liquidarom;Les Collègues - La Coquette;café;biscuit;;Gourmand;Oui;Aucun;Moyen;Moyenne;Gourmand;Un mélange café, biscuit.;la coquette, les collègues, café, biscuit;;Client appréciant les profils gourmand.;;Toute la journée;;"0 mg/ml en flacon; dosage final à adapter après conseil en boutique";"Matériel compatible e-liquide 50 ml; réglage selon résistance et préférence du client";Préférez-vous une saveur fraîche ou non fraîche ? Quels goûts aimez-vous ? Quel est votre matériel et votre dosage actuel ?;Le La Coquette propose café, biscuit.;Ce produit Liquidarom de la collection Les Collègues associe café, biscuit. A.V.A. doit vérifier la préférence de fraîcheur, le matériel utilisé et le dosage de nicotine habituel avant de le proposer.;À vérifier;Yoann / All Vap’s;2026-07-28
SAV-0025;AV-0025;Liquidarom;Les Collègues - Le Balèze;vanille;crème;;Gourmand;Oui;Aucun;Moyen;Moyenne;Gourmand;Un mélange vanille, crème.;le balèze, les collègues, vanille, crème;;Client appréciant les profils gourmand.;;Toute la journée;;"0 mg/ml en flacon; dosage final à adapter après conseil en boutique";"Matériel compatible e-liquide 50 ml; réglage selon résistance et préférence du client";Préférez-vous une saveur fraîche ou non fraîche ? Quels goûts aimez-vous ? Quel est votre matériel et votre dosage actuel ?;Le Le Balèze propose vanille, crème.;Ce produit Liquidarom de la collection Les Collègues associe vanille, crème. A.V.A. doit vérifier la préférence de fraîcheur, le matériel utilisé et le dosage de nicotine habituel avant de le proposer.;À vérifier;Yoann / All Vap’s;2026-07-28
SAV-0026;AV-0026;Liquidarom;Les Collègues - Le Charmeur;bonbon;fruité;;Fruité;Oui;Aucun;Moyen;Moyenne;Fruité;Un mélange bonbon, fruité.;le charmeur, les collègues, bonbon, fruité;;Client appréciant les profils fruité.;;Toute la journée;;"0 mg/ml en flacon; dosage final à adapter après conseil en boutique";"Matériel compatible e-liquide 50 ml; réglage selon résistance et préférence du client";Préférez-vous une saveur fraîche ou non fraîche ? Quels goûts aimez-vous ? Quel est votre matériel et votre dosage actuel ?;Le Le Charmeur propose bonbon, fruité.;Ce produit Liquidarom de la collection Les Collègues associe bonbon, fruité. A.V.A. doit vérifier la préférence de fraîcheur, le matériel utilisé et le dosage de nicotine habituel avant de le proposer.;À vérifier;Yoann / All Vap’s;2026-07-28
SAV-0027;AV-0027;Liquidarom;Les Collègues - Le Funkie;cookie;gourmand;;Gourmand;Oui;Aucun;Moyen;Moyenne;Gourmand;Un mélange cookie, gourmand.;le funkie, les collègues, cookie, gourmand;;Client appréciant les profils gourmand.;;Toute la journée;;"0 mg/ml en flacon; dosage final à adapter après conseil en boutique";"Matériel compatible e-liquide 50 ml; réglage selon résistance et préférence du client";Préférez-vous une saveur fraîche ou non fraîche ? Quels goûts aimez-vous ? Quel est votre matériel et votre dosage actuel ?;Le Le Funkie propose cookie, gourmand.;Ce produit Liquidarom de la collection Les Collègues associe cookie, gourmand. A.V.A. doit vérifier la préférence de fraîcheur, le matériel utilisé et le dosage de nicotine habituel avant de le proposer.;À vérifier;Yoann / All Vap’s;2026-07-28
SAV-0028;AV-0028;Liquidarom;Les Collègues - Le Tchatcheur;céréales;gourmand;;Gourmand;Oui;Aucun;Moyen;Moyenne;Gourmand;Un mélange céréales, gourmand.;le tchatcheur, les collègues, céréales, gourmand;;Client appréciant les profils gourmand.;;Toute la journée;;"0 mg/ml en flacon; dosage final à adapter après conseil en boutique";"Matériel compatible e-liquide 50 ml; réglage selon résistance et préférence du client";Préférez-vous une saveur fraîche ou non fraîche ? Quels goûts aimez-vous ? Quel est votre matériel et votre dosage actuel ?;Le Le Tchatcheur propose céréales, gourmand.;Ce produit Liquidarom de la collection Les Collègues associe céréales, gourmand. A.V.A. doit vérifier la préférence de fraîcheur, le matériel utilisé et le dosage de nicotine habituel avant de le proposer.;À vérifier;Yoann / All Vap’s;2026-07-28
SAV-0029;AV-0029;Liquidarom;Les Collègues - Le Flambeur;vanille;gourmand;;Gourmand;Oui;Aucun;Moyen;Moyenne;Gourmand;Un mélange vanille, gourmand.;le flambeur, les collègues, vanille, gourmand;;Client appréciant les profils gourmand.;;Toute la journée;;"0 mg/ml en flacon; dosage final à adapter après conseil en boutique";"Matériel compatible e-liquide 50 ml; réglage selon résistance et préférence du client";Préférez-vous une saveur fraîche ou non fraîche ? Quels goûts aimez-vous ? Quel est votre matériel et votre dosage actuel ?;Le Le Flambeur propose vanille, gourmand.;Ce produit Liquidarom de la collection Les Collègues associe vanille, gourmand. A.V.A. doit vérifier la préférence de fraîcheur, le matériel utilisé et le dosage de nicotine habituel avant de le proposer.;À vérifier;Yoann / All Vap’s;2026-07-28
SAV-0030;AV-0030;Liquidarom;Les Collègues - La Mimi;crème;gourmand;;Gourmand;Oui;Aucun;Moyen;Moyenne;Gourmand;Un mélange crème, gourmand.;la mimi, les collègues, crème, gourmand;;Client appréciant les profils gourmand.;;Toute la journée;;"0 mg/ml en flacon; dosage final à adapter après conseil en boutique";"Matériel compatible e-liquide 50 ml; réglage selon résistance et préférence du client";Préférez-vous une saveur fraîche ou non fraîche ? Quels goûts aimez-vous ? Quel est votre matériel et votre dosage actuel ?;Le La Mimi propose crème, gourmand.;Ce produit Liquidarom de la collection Les Collègues associe crème, gourmand. A.V.A. doit vérifier la préférence de fraîcheur, le matériel utilisé et le dosage de nicotine habituel avant de le proposer.;À vérifier;Yoann / All Vap’s;2026-07-28
SAV-0031;AV-0031;Liquidarom;Les Collègues - Le ChocoStar;chocolat;gourmand;;Gourmand;Oui;Aucun;Moyen;Moyenne;Gourmand;Un mélange chocolat, gourmand.;le chocostar, les collègues, chocolat, gourmand;;Client appréciant les profils gourmand.;;Toute la journée;;"0 mg/ml en flacon; dosage final à adapter après conseil en boutique";"Matériel compatible e-liquide 50 ml; réglage selon résistance et préférence du client";Préférez-vous une saveur fraîche ou non fraîche ? Quels goûts aimez-vous ? Quel est votre matériel et votre dosage actuel ?;Le Le ChocoStar propose chocolat, gourmand.;Ce produit Liquidarom de la collection Les Collègues associe chocolat, gourmand. A.V.A. doit vérifier la préférence de fraîcheur, le matériel utilisé et le dosage de nicotine habituel avant de le proposer.;Identification photo;Yoann / All Vap’s;2026-07-28
SAV-0032;AV-0032;Liquidarom;Edition Collection - Miss Blue;fruit du dragon;frais;;Fruité;Oui;Moyen;Moyen;Moyenne;Fraîche;Un mélange fruit du dragon, frais avec une touche fraîche.;miss blue, edition collection, fruit du dragon, frais, frais, glacé;;Client recherchant une saveur fraîche.;;Toute la journée;;"0 mg/ml en flacon; dosage final à adapter après conseil en boutique";"Matériel compatible e-liquide 50 ml; réglage selon résistance et préférence du client";Préférez-vous une saveur fraîche ou non fraîche ? Quels goûts aimez-vous ? Quel est votre matériel et votre dosage actuel ?;Le Miss Blue propose fruit du dragon, frais.;Ce produit Liquidarom de la collection Edition Collection associe fruit du dragon, frais. A.V.A. doit vérifier la préférence de fraîcheur, le matériel utilisé et le dosage de nicotine habituel avant de le proposer.;À vérifier;Yoann / All Vap’s;2026-07-28
SAV-0033;AV-0033;Liquidarom;Les Essentiels - Pastis 13;anis;pastis;;Boisson;Oui;Aucun;Moyen;Moyenne;Boisson;Un mélange anis, pastis.;pastis 13, les essentiels, anis, pastis;;Client appréciant les profils boisson.;;Toute la journée;;"0 mg/ml en flacon; dosage final à adapter après conseil en boutique";"Matériel compatible e-liquide 50 ml; réglage selon résistance et préférence du client";Préférez-vous une saveur fraîche ou non fraîche ? Quels goûts aimez-vous ? Quel est votre matériel et votre dosage actuel ?;Le Pastis 13 propose anis, pastis.;Ce produit Liquidarom de la collection Les Essentiels associe anis, pastis. A.V.A. doit vérifier la préférence de fraîcheur, le matériel utilisé et le dosage de nicotine habituel avant de le proposer.;À vérifier;Yoann / All Vap’s;2026-07-28
SAV-0034;AV-0034;Liquidarom;Les Essentiels - Mojito des îles;mojito;citron vert;menthe;Boisson;Oui;Moyen;Moyen;Moyenne;Fraîche;Un mélange mojito, citron vert, menthe avec une touche fraîche.;mojito des îles, les essentiels, mojito, citron vert, menthe, frais, glacé;;Client recherchant une saveur fraîche.;;Toute la journée;;"0 mg/ml en flacon; dosage final à adapter après conseil en boutique";"Matériel compatible e-liquide 50 ml; réglage selon résistance et préférence du client";Préférez-vous une saveur fraîche ou non fraîche ? Quels goûts aimez-vous ? Quel est votre matériel et votre dosage actuel ?;Le Mojito des îles propose mojito, citron vert, menthe.;Ce produit Liquidarom de la collection Les Essentiels associe mojito, citron vert, menthe. A.V.A. doit vérifier la préférence de fraîcheur, le matériel utilisé et le dosage de nicotine habituel avant de le proposer.;Identification photo;Yoann / All Vap’s;2026-07-28
SAV-0035;AV-0035;Liquidarom;Les Essentiels - Le P'tit Blond;tabac blond;;;Classic / tabac;Oui;Aucun;Moyen;Moyenne;Classic / tabac;Un mélange tabac blond.;le p'tit blond, les essentiels, tabac blond;;Client appréciant les profils classic / tabac.;;Toute la journée;;"0 mg/ml en flacon; dosage final à adapter après conseil en boutique";"Matériel compatible e-liquide 50 ml; réglage selon résistance et préférence du client";Préférez-vous une saveur fraîche ou non fraîche ? Quels goûts aimez-vous ? Quel est votre matériel et votre dosage actuel ?;Le Le P'tit Blond propose tabac blond.;Ce produit Liquidarom de la collection Les Essentiels associe tabac blond. A.V.A. doit vérifier la préférence de fraîcheur, le matériel utilisé et le dosage de nicotine habituel avant de le proposer.;Identification photo;Yoann / All Vap’s;2026-07-28
SAV-0036;AV-0036;Liquidarom;Ice Cool X - Blue Raspberry Pitaya;framboise bleue;pitaya;;Fruité;Oui;Très fort;Moyen;Soutenue;Glacée et fruitée;Un mélange framboise bleue, pitaya avec une fraîcheur très marquée.;blue raspberry pitaya, ice cool x, framboise bleue, pitaya, frais, glacé;;Client recherchant une saveur fruitée et très fraîche.;;Toute la journée;Les saveurs très fraîches;"0 mg/ml en flacon; dosage final à adapter après conseil en boutique";"Matériel compatible e-liquide 50 ml; réglage selon résistance et préférence du client";Préférez-vous une saveur fraîche ou non fraîche ? Quels goûts aimez-vous ? Quel est votre matériel et votre dosage actuel ?;Le Blue Raspberry Pitaya propose framboise bleue, pitaya avec une fraîcheur intense.;Ce produit Liquidarom de la collection Ice Cool X associe framboise bleue, pitaya. A.V.A. doit vérifier la préférence de fraîcheur, le matériel utilisé et le dosage de nicotine habituel avant de le proposer.;Identification photo;Yoann / All Vap’s;2026-07-28
SAV-0037;AV-0037;Liquidarom;Ice Cool X - Watermelon Lemon;pastèque;citron;;Fruité;Oui;Très fort;Moyen;Soutenue;Glacée et fruitée;Un mélange pastèque, citron avec une fraîcheur très marquée.;watermelon lemon, ice cool x, pastèque, citron, frais, glacé;;Client recherchant une saveur fruitée et très fraîche.;;Toute la journée;Les saveurs très fraîches;"0 mg/ml en flacon; dosage final à adapter après conseil en boutique";"Matériel compatible e-liquide 50 ml; réglage selon résistance et préférence du client";Préférez-vous une saveur fraîche ou non fraîche ? Quels goûts aimez-vous ? Quel est votre matériel et votre dosage actuel ?;Le Watermelon Lemon propose pastèque, citron avec une fraîcheur intense.;Ce produit Liquidarom de la collection Ice Cool X associe pastèque, citron. A.V.A. doit vérifier la préférence de fraîcheur, le matériel utilisé et le dosage de nicotine habituel avant de le proposer.;À vérifier;Yoann / All Vap’s;2026-07-28
SAV-0038;AV-0038;Liquidarom;Ice Cool X - Blackcurrant Raspberry Grape;cassis;framboise;raisin;Fruité;Oui;Très fort;Moyen;Soutenue;Glacée et fruitée;Un mélange cassis, framboise, raisin avec une fraîcheur très marquée.;blackcurrant raspberry grape, ice cool x, cassis, framboise, raisin, frais, glacé;;Client recherchant une saveur fruitée et très fraîche.;;Toute la journée;Les saveurs très fraîches;"0 mg/ml en flacon; dosage final à adapter après conseil en boutique";"Matériel compatible e-liquide 50 ml; réglage selon résistance et préférence du client";Préférez-vous une saveur fraîche ou non fraîche ? Quels goûts aimez-vous ? Quel est votre matériel et votre dosage actuel ?;Le Blackcurrant Raspberry Grape propose cassis, framboise, raisin avec une fraîcheur intense.;Ce produit Liquidarom de la collection Ice Cool X associe cassis, framboise, raisin. A.V.A. doit vérifier la préférence de fraîcheur, le matériel utilisé et le dosage de nicotine habituel avant de le proposer.;À vérifier;Yoann / All Vap’s;2026-07-28
SAV-0039;AV-0039;Liquidarom;Ice Cool X - Mixed Berries;fruits rouges;;;Fruité;Oui;Très fort;Moyen;Soutenue;Glacée et fruitée;Un mélange fruits rouges avec une fraîcheur très marquée.;mixed berries, ice cool x, fruits rouges, frais, glacé;;Client recherchant une saveur fruitée et très fraîche.;;Toute la journée;Les saveurs très fraîches;"0 mg/ml en flacon; dosage final à adapter après conseil en boutique";"Matériel compatible e-liquide 50 ml; réglage selon résistance et préférence du client";Préférez-vous une saveur fraîche ou non fraîche ? Quels goûts aimez-vous ? Quel est votre matériel et votre dosage actuel ?;Le Mixed Berries propose fruits rouges avec une fraîcheur intense.;Ce produit Liquidarom de la collection Ice Cool X associe fruits rouges. A.V.A. doit vérifier la préférence de fraîcheur, le matériel utilisé et le dosage de nicotine habituel avant de le proposer.;À vérifier;Yoann / All Vap’s;2026-07-28
SAV-0040;AV-0040;Liquidarom;Ice Cool X - Blackberry Raspberry;mûre;framboise;;Fruité;Oui;Très fort;Moyen;Soutenue;Glacée et fruitée;Un mélange mûre, framboise avec une fraîcheur très marquée.;blackberry raspberry, ice cool x, mûre, framboise, frais, glacé;;Client recherchant une saveur fruitée et très fraîche.;;Toute la journée;Les saveurs très fraîches;"0 mg/ml en flacon; dosage final à adapter après conseil en boutique";"Matériel compatible e-liquide 50 ml; réglage selon résistance et préférence du client";Préférez-vous une saveur fraîche ou non fraîche ? Quels goûts aimez-vous ? Quel est votre matériel et votre dosage actuel ?;Le Blackberry Raspberry propose mûre, framboise avec une fraîcheur intense.;Ce produit Liquidarom de la collection Ice Cool X associe mûre, framboise. A.V.A. doit vérifier la préférence de fraîcheur, le matériel utilisé et le dosage de nicotine habituel avant de le proposer.;À vérifier;Yoann / All Vap’s;2026-07-28
