ID produit;Code-barres / SKU;Marque;Nom commercial;Catégorie;Sous-catégorie;Type de produit;Format / Contenance;Taux nicotine (mg/ml);Sels de nicotine;Ratio PG/VG;Puissance conseillée (W);Résistance compatible (ohm);Compatibilité / Modèle;Couleur;Prix vente TTC (€);Stock Hautmont;Stock Le Quesnoy;Stock total;Actif en boutique;Actif en ligne;Photo face;Photo dos;Photo côté;Photo code-barres;Description courte;Description complète;Avertissements / restrictions;Notes internes;Date dernière mise à jour
AV-0011;;Liquidarom;Ice Cool - Cactus citronné Framboise Fruit du dragon;E-liquide;Ice Cool;E-liquide prêt à booster;50 ml;0;Non;;;;;;;;;=SUM(Q12:R12);Oui;Non;image-1785228599019.jpg;;;;Cactus citronné Framboise Fruit du dragon : cactus citronné, framboise, fruit du dragon.;E-liquide Liquidarom, collection Ice Cool, format 50 ml sans nicotine. Profil aromatique : cactus citronné, framboise, fruit du dragon.;"Vente interdite aux mineurs. Produit sans nicotine en l’état; nicotine uniquement après ajout adapté par un adulte.";Identification depuis photo de rayon.;2026-07-28
AV-0012;;Liquidarom;Ice Cool - Cocktail exotique;E-liquide;Ice Cool;E-liquide prêt à booster;50 ml;0;Non;;;;;;;;;=SUM(Q13:R13);Oui;Non;image-1785228599019.jpg;;;;Cocktail exotique : cocktail exotique.;E-liquide Liquidarom, collection Ice Cool, format 50 ml sans nicotine. Profil aromatique : cocktail exotique.;"Vente interdite aux mineurs. Produit sans nicotine en l’état; nicotine uniquement après ajout adapté par un adulte.";Identification depuis photo de rayon. Composition exacte à confirmer sur photo individuelle.;2026-07-28
AV-0013;;Liquidarom;Ice Cool - Fraise Framboise Basilic;E-liquide;Ice Cool;E-liquide prêt à booster;50 ml;0;Non;;;;;;;;;=SUM(Q14:R14);Oui;Non;image-1785228630196.jpg;;;;Fraise Framboise Basilic : fraise, framboise, basilic.;E-liquide Liquidarom, collection Ice Cool, format 50 ml sans nicotine. Profil aromatique : fraise, framboise, basilic.;"Vente interdite aux mineurs. Produit sans nicotine en l’état; nicotine uniquement après ajout adapté par un adulte.";Identification depuis photo de rayon.;2026-07-28
AV-0014;;Liquidarom;Ice Cool - Extra Fruits rouges;E-liquide;Ice Cool;E-liquide prêt à booster;50 ml;0;Non;;;;;;;;;=SUM(Q15:R15);Oui;Non;image-1785228630196.jpg;;;;Extra Fruits rouges : fruits rouges.;E-liquide Liquidarom, collection Ice Cool, format 50 ml sans nicotine. Profil aromatique : fruits rouges.;"Vente interdite aux mineurs. Produit sans nicotine en l’état; nicotine uniquement après ajout adapté par un adulte.";Identification depuis photo de rayon. Nom lu sur photo, à confirmer sur photo individuelle.;2026-07-28
AV-0015;;Liquidarom;Ice Cool - Ananas Kiwi jaune;E-liquide;Ice Cool;E-liquide prêt à booster;50 ml;0;Non;;;;;;;;;=SUM(Q16:R16);Oui;Non;image-1785228630196.jpg;;;;Ananas Kiwi jaune : ananas, kiwi jaune.;E-liquide Liquidarom, collection Ice Cool, format 50 ml sans nicotine. Profil aromatique : ananas, kiwi jaune.;"Vente interdite aux mineurs. Produit sans nicotine en l’état; nicotine uniquement après ajout adapté par un adulte.";Identification depuis photo de rayon.;2026-07-28
AV-0016;;Liquidarom;Ice Cool - Pêche Myrtille;E-liquide;Ice Cool;E-liquide prêt à booster;50 ml;0;Non;;;;;;;;;=SUM(Q17:R17);Oui;Non;image-1785228630196.jpg;;;;Pêche Myrtille : pêche, myrtille.;E-liquide Liquidarom, collection Ice Cool, format 50 ml sans nicotine. Profil aromatique : pêche, myrtille.;"Vente interdite aux mineurs. Produit sans nicotine en l’état; nicotine uniquement après ajout adapté par un adulte.";Identification depuis photo de rayon.;2026-07-28
AV-0017;;Liquidarom;Ice Cool - Pastèque Fruits rouges;E-liquide;Ice Cool;E-liquide prêt à booster;50 ml;0;Non;;;;;;;;;=SUM(Q18:R18);Oui;Non;image-1785228630196.jpg;;;;Pastèque Fruits rouges : pastèque, fruits rouges.;E-liquide Liquidarom, collection Ice Cool, format 50 ml sans nicotine. Profil aromatique : pastèque, fruits rouges.;"Vente interdite aux mineurs. Produit sans nicotine en l’état; nicotine uniquement après ajout adapté par un adulte.";Identification depuis photo de rayon.;2026-07-28
AV-0018;;Liquidarom;Ice Cool - Fruit du serpent Framboise;E-liquide;Ice Cool;E-liquide prêt à booster;50 ml;0;Non;;;;;;;;;=SUM(Q19:R19);Oui;Non;image-1785228630196.jpg;;;;Fruit du serpent Framboise : fruit du serpent, framboise.;E-liquide Liquidarom, collection Ice Cool, format 50 ml sans nicotine. Profil aromatique : fruit du serpent, framboise.;"Vente interdite aux mineurs. Produit sans nicotine en l’état; nicotine uniquement après ajout adapté par un adulte.";Identification depuis photo de rayon.;2026-07-28
AV-0019;;Liquidarom;Ice Cool - Kiwi Banane;E-liquide;Ice Cool;E-liquide prêt à booster;50 ml;0;Non;;;;;;;;;=SUM(Q20:R20);Oui;Non;image-1785228630196.jpg;;;;Kiwi Banane : kiwi, banane.;E-liquide Liquidarom, collection Ice Cool, format 50 ml sans nicotine. Profil aromatique : kiwi, banane.;"Vente interdite aux mineurs. Produit sans nicotine en l’état; nicotine uniquement après ajout adapté par un adulte.";Identification depuis photo de rayon.;2026-07-28
AV-0020;;Liquidarom;Ice Cool - Cassis Mangue;E-liquide;Ice Cool;E-liquide prêt à booster;50 ml;0;Non;;;;;;;;;=SUM(Q21:R21);Oui;Non;image-1785228630196.jpg;;;;Cassis Mangue : cassis, mangue.;E-liquide Liquidarom, collection Ice Cool, format 50 ml sans nicotine. Profil aromatique : cassis, mangue.;"Vente interdite aux mineurs. Produit sans nicotine en l’état; nicotine uniquement après ajout adapté par un adulte.";Identification depuis photo de rayon.;2026-07-28
AV-0021;;Liquidarom;Ice Cool - Citron Pastèque;E-liquide;Ice Cool;E-liquide prêt à booster;50 ml;0;Non;;;;;;;;;=SUM(Q22:R22);Oui;Non;image-1785228630196.jpg;;;;Citron Pastèque : citron, pastèque.;E-liquide Liquidarom, collection Ice Cool, format 50 ml sans nicotine. Profil aromatique : citron, pastèque.;"Vente interdite aux mineurs. Produit sans nicotine en l’état; nicotine uniquement après ajout adapté par un adulte.";Identification depuis photo de rayon.;2026-07-28
AV-0022;;Liquidarom;Ice Cool - Framboise bleue Pitaya;E-liquide;Ice Cool;E-liquide prêt à booster;50 ml;0;Non;;;;;;;;;=SUM(Q23:R23);Oui;Non;image-1785228630196.jpg;;;;Framboise bleue Pitaya : framboise bleue, pitaya.;E-liquide Liquidarom, collection Ice Cool, format 50 ml sans nicotine. Profil aromatique : framboise bleue, pitaya.;"Vente interdite aux mineurs. Produit sans nicotine en l’état; nicotine uniquement après ajout adapté par un adulte.";Identification depuis photo de rayon.;2026-07-28
AV-0023;;Liquidarom;Ice Cool - Grenade tropicale;E-liquide;Ice Cool;E-liquide prêt à booster;50 ml;0;Non;;;;;;;;;=SUM(Q24:R24);Oui;Non;image-1785228630196.jpg;;;;Grenade tropicale : grenade tropicale.;E-liquide Liquidarom, collection Ice Cool, format 50 ml sans nicotine. Profil aromatique : grenade tropicale.;"Vente interdite aux mineurs. Produit sans nicotine en l’état; nicotine uniquement après ajout adapté par un adulte.";Identification depuis photo de rayon. Composition exacte à confirmer sur photo individuelle.;2026-07-28
AV-0024;;Liquidarom;Les Collègues - La Coquette;E-liquide;Les Collègues;E-liquide prêt à booster;50 ml;0;Non;30/70;;;;;;;;=SUM(Q25:R25);Oui;Non;image-1785228670994.jpg;;;;La Coquette : café, biscuit.;E-liquide Liquidarom, collection Les Collègues, format 50 ml sans nicotine. Profil aromatique : café, biscuit.;"Vente interdite aux mineurs. Produit sans nicotine en l’état; nicotine uniquement après ajout adapté par un adulte.";"Identification depuis photo de rayon. Saveurs déduites du visuel; à confirmer sur étiquette arrière.";2026-07-28
AV-0025;;Liquidarom;Les Collègues - Le Balèze;E-liquide;Les Collègues;E-liquide prêt à booster;50 ml;0;Non;30/70;;;;;;;;=SUM(Q26:R26);Oui;Non;image-1785228670994.jpg;;;;Le Balèze : vanille, crème.;E-liquide Liquidarom, collection Les Collègues, format 50 ml sans nicotine. Profil aromatique : vanille, crème.;"Vente interdite aux mineurs. Produit sans nicotine en l’état; nicotine uniquement après ajout adapté par un adulte.";"Identification depuis photo de rayon. Saveurs déduites du visuel; à confirmer sur étiquette arrière.";2026-07-28
AV-0026;;Liquidarom;Les Collègues - Le Charmeur;E-liquide;Les Collègues;E-liquide prêt à booster;50 ml;0;Non;30/70;;;;;;;;=SUM(Q27:R27);Oui;Non;image-1785228670994.jpg;;;;Le Charmeur : bonbon, fruité.;E-liquide Liquidarom, collection Les Collègues, format 50 ml sans nicotine. Profil aromatique : bonbon, fruité.;"Vente interdite aux mineurs. Produit sans nicotine en l’état; nicotine uniquement après ajout adapté par un adulte.";Identification depuis photo de rayon. Saveurs exactes à confirmer sur étiquette arrière.;2026-07-28
AV-0027;;Liquidarom;Les Collègues - Le Funkie;E-liquide;Les Collègues;E-liquide prêt à booster;50 ml;0;Non;30/70;;;;;;;;=SUM(Q28:R28);Oui;Non;image-1785228670994.jpg;;;;Le Funkie : cookie, gourmand.;E-liquide Liquidarom, collection Les Collègues, format 50 ml sans nicotine. Profil aromatique : cookie, gourmand.;"Vente interdite aux mineurs. Produit sans nicotine en l’état; nicotine uniquement après ajout adapté par un adulte.";"Identification depuis photo de rayon. Saveurs déduites du visuel; à confirmer.";2026-07-28
AV-0028;;Liquidarom;Les Collègues - Le Tchatcheur;E-liquide;Les Collègues;E-liquide prêt à booster;50 ml;0;Non;40/60;;;;;;;;=SUM(Q29:R29);Oui;Non;image-1785228670994.jpg;;;;Le Tchatcheur : céréales, gourmand.;E-liquide Liquidarom, collection Les Collègues, format 50 ml sans nicotine. Profil aromatique : céréales, gourmand.;"Vente interdite aux mineurs. Produit sans nicotine en l’état; nicotine uniquement après ajout adapté par un adulte.";"Identification depuis photo de rayon. Ratio lu partiellement; à confirmer.";2026-07-28
AV-0029;;Liquidarom;Les Collègues - Le Flambeur;E-liquide;Les Collègues;E-liquide prêt à booster;50 ml;0;Non;30/70;;;;;;;;=SUM(Q30:R30);Oui;Non;image-1785228670994.jpg;;;;Le Flambeur : vanille, gourmand.;E-liquide Liquidarom, collection Les Collègues, format 50 ml sans nicotine. Profil aromatique : vanille, gourmand.;"Vente interdite aux mineurs. Produit sans nicotine en l’état; nicotine uniquement après ajout adapté par un adulte.";"Identification depuis photo de rayon. Saveurs déduites du visuel; à confirmer.";2026-07-28
AV-0030;;Liquidarom;Les Collègues - La Mimi;E-liquide;Les Collègues;E-liquide prêt à booster;50 ml;0;Non;30/70;;;;;;;;=SUM(Q31:R31);Oui;Non;image-1785228670994.jpg;;;;La Mimi : crème, gourmand.;E-liquide Liquidarom, collection Les Collègues, format 50 ml sans nicotine. Profil aromatique : crème, gourmand.;"Vente interdite aux mineurs. Produit sans nicotine en l’état; nicotine uniquement après ajout adapté par un adulte.";"Identification depuis photo de rayon. Saveurs déduites du visuel; à confirmer.";2026-07-28
AV-0031;;Liquidarom;Les Collègues - Le ChocoStar;E-liquide;Les Collègues;E-liquide prêt à booster;50 ml;0;Non;30/70;;;;;;;;=SUM(Q32:R32);Oui;Non;image-1785228670994.jpg;;;;Le ChocoStar : chocolat, gourmand.;E-liquide Liquidarom, collection Les Collègues, format 50 ml sans nicotine. Profil aromatique : chocolat, gourmand.;"Vente interdite aux mineurs. Produit sans nicotine en l’état; nicotine uniquement après ajout adapté par un adulte.";Identification depuis photo de rayon.;2026-07-28
AV-0032;;Liquidarom;Edition Collection - Miss Blue;E-liquide;Edition Collection;E-liquide prêt à booster;50 ml;0;Non;;;;;;;;;=SUM(Q33:R33);Oui;Non;image-1785228670994.jpg;;;;Miss Blue : fruit du dragon, frais.;E-liquide Liquidarom, collection Edition Collection, format 50 ml sans nicotine. Profil aromatique : fruit du dragon, frais.;"Vente interdite aux mineurs. Produit sans nicotine en l’état; nicotine uniquement après ajout adapté par un adulte.";Identification depuis photo de rayon. Étiquette: Fruit du dragon givré.;2026-07-28
AV-0033;;Liquidarom;Les Essentiels - Pastis 13;E-liquide;Les Essentiels;E-liquide prêt à booster;50 ml;0;Non;;;;;;;;;=SUM(Q34:R34);Oui;Non;image-1785228670994.jpg;;;;Pastis 13 : anis, pastis.;E-liquide Liquidarom, collection Les Essentiels, format 50 ml sans nicotine. Profil aromatique : anis, pastis.;"Vente interdite aux mineurs. Produit sans nicotine en l’état; nicotine uniquement après ajout adapté par un adulte.";"Identification depuis photo de rayon. Saveur boisson; 0 mg/ml.";2026-07-28
AV-0034;;Liquidarom;Les Essentiels - Mojito des îles;E-liquide;Les Essentiels;E-liquide prêt à booster;50 ml;0;Non;50/50;;;;;;;;=SUM(Q35:R35);Oui;Non;image-1785228670994.jpg;;;;Mojito des îles : mojito, citron vert, menthe.;E-liquide Liquidarom, collection Les Essentiels, format 50 ml sans nicotine. Profil aromatique : mojito, citron vert, menthe.;"Vente interdite aux mineurs. Produit sans nicotine en l’état; nicotine uniquement après ajout adapté par un adulte.";Identification depuis photo de rayon.;2026-07-28
AV-0035;;Liquidarom;Les Essentiels - Le P'tit Blond;E-liquide;Les Essentiels;E-liquide prêt à booster;50 ml;0;Non;50/50;;;;;;;;=SUM(Q36:R36);Oui;Non;image-1785228670994.jpg;;;;Le P'tit Blond : tabac blond.;E-liquide Liquidarom, collection Les Essentiels, format 50 ml sans nicotine. Profil aromatique : tabac blond.;"Vente interdite aux mineurs. Produit sans nicotine en l’état; nicotine uniquement après ajout adapté par un adulte.";Identification depuis photo de rayon.;2026-07-28
AV-0036;;Liquidarom;Ice Cool X - Blue Raspberry Pitaya;E-liquide;Ice Cool X;E-liquide prêt à booster;50 ml;0;Non;;;;;;;;;=SUM(Q37:R37);Oui;Non;image-1785228719275.jpg;;;;Blue Raspberry Pitaya : framboise bleue, pitaya.;E-liquide Liquidarom, collection Ice Cool X, format 50 ml sans nicotine. Profil aromatique : framboise bleue, pitaya.;"Vente interdite aux mineurs. Produit sans nicotine en l’état; nicotine uniquement après ajout adapté par un adulte.";Identification depuis photo de rayon.;2026-07-28
AV-0037;;Liquidarom;Ice Cool X - Watermelon Lemon;E-liquide;Ice Cool X;E-liquide prêt à booster;50 ml;0;Non;;;;;;;;;=SUM(Q38:R38);Oui;Non;image-1785228719275.jpg;;;;Watermelon Lemon : pastèque, citron.;E-liquide Liquidarom, collection Ice Cool X, format 50 ml sans nicotine. Profil aromatique : pastèque, citron.;"Vente interdite aux mineurs. Produit sans nicotine en l’état; nicotine uniquement après ajout adapté par un adulte.";Identification depuis photo de rayon. Nom anglais visible sur étiquette.;2026-07-28
AV-0038;;Liquidarom;Ice Cool X - Blackcurrant Raspberry Grape;E-liquide;Ice Cool X;E-liquide prêt à booster;50 ml;0;Non;;;;;;;;;=SUM(Q39:R39);Oui;Non;image-1785228719275.jpg;;;;Blackcurrant Raspberry Grape : cassis, framboise, raisin.;E-liquide Liquidarom, collection Ice Cool X, format 50 ml sans nicotine. Profil aromatique : cassis, framboise, raisin.;"Vente interdite aux mineurs. Produit sans nicotine en l’état; nicotine uniquement après ajout adapté par un adulte.";Identification depuis photo de rayon. Nom anglais visible sur étiquette.;2026-07-28
AV-0039;;Liquidarom;Ice Cool X - Mixed Berries;E-liquide;Ice Cool X;E-liquide prêt à booster;50 ml;0;Non;;;;;;;;;=SUM(Q40:R40);Oui;Non;image-1785228719275.jpg;;;;Mixed Berries : fruits rouges.;E-liquide Liquidarom, collection Ice Cool X, format 50 ml sans nicotine. Profil aromatique : fruits rouges.;"Vente interdite aux mineurs. Produit sans nicotine en l’état; nicotine uniquement après ajout adapté par un adulte.";Identification depuis photo de rayon. Nom anglais visible sur étiquette.;2026-07-28
AV-0040;;Liquidarom;Ice Cool X - Blackberry Raspberry;E-liquide;Ice Cool X;E-liquide prêt à booster;50 ml;0;Non;;;;;;;;;=SUM(Q41:R41);Oui;Non;image-1785228719275.jpg;;;;Blackberry Raspberry : mûre, framboise.;E-liquide Liquidarom, collection Ice Cool X, format 50 ml sans nicotine. Profil aromatique : mûre, framboise.;"Vente interdite aux mineurs. Produit sans nicotine en l’état; nicotine uniquement après ajout adapté par un adulte.";Identification depuis photo de rayon. Nom anglais visible sur étiquette.;2026-07-28
